200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 17 : 23 : 44
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w1203692519.m3u8 17 : 23 : 44
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 42
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 43
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 17 : 51 : 46
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w197373128.m3u8 17 : 51 : 46
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 18 : 14 : 34
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w1356148532.m3u8 18 : 14 : 34
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 35
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 36
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 38
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 39
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 39
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 41
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 42
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_0.ts 18 : 14 : 44
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 45
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 45
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 46
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 46
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 48
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 49
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 50
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 51
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 52
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_1.ts 18 : 14 : 54
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 55
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 56
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 58
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 59
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 14 : 59
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 15 : 1
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 15 : 2
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_2.ts 18 : 15 : 4
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 5
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 6
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 6
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 6
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 8
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 9
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 10
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 11
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 12
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_3.ts 18 : 15 : 14
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 15
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 16
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 16
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 16
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 18
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 19
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 20
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 21
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 22
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_4.ts 18 : 15 : 24
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 25
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 26
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 26
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 26
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 28
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 30
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 30
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 31
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 32
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_5.ts 18 : 15 : 34
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 35
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 36
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 36
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 36
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 38
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 40
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 40
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 41
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 42
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_6.ts 18 : 15 : 44
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 45
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 46
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 46
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 46
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 48
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 50
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 50
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 51
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 52
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_7.ts 18 : 15 : 54
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 15 : 55
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 15 : 56
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 15 : 56
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 15 : 56
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 15 : 58
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 16 : 0
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 16 : 0
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 16 : 1
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 16 : 2
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_8.ts 18 : 16 : 4
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 5
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 6
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 6
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 6
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 8
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 10
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 10
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 11
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 12
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_9.ts 18 : 16 : 14
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 15
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 16
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 16
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 16
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 18
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 20
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 20
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 21
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 22
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_10.ts 18 : 16 : 24
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 25
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 26
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 26
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 26
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 28
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 30
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 30
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 31
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 32
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_11.ts 18 : 16 : 34
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 35
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 36
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 36
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 36
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 38
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 40
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 40
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 41
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 42
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_12.ts 18 : 16 : 44
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 45
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 46
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 46
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 46
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 48
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 50
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 50
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 51
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 52
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_13.ts 18 : 16 : 54
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 55
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 56
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 56
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 56
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 16 : 58
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 0
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 0
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 1
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 2
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_14.ts 18 : 17 : 4
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 5
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 6
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 8
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 10
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 10
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 12
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 12
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_15.ts 18 : 17 : 14
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 15
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 16
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 18
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 20
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 20
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 22
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 22
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_16.ts 18 : 17 : 24
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 25
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 26
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1356148532_17.ts 18 : 17 : 28
200 http://192.168.0.124:1935/live/nana/playlist.m3u8 22 : 7 : 42
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 42
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_12.ts 22 : 7 : 43
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 43
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_12.ts 22 : 7 : 43
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_13.ts 22 : 7 : 44
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 44
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_13.ts 22 : 7 : 44
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_14.ts 22 : 7 : 45
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 45
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_14.ts 22 : 7 : 45
1 200 http://192.168.0.124:1935/live/nana/media_w126658195_15.ts 22 : 7 : 46
0 200 http://192.168.0.124:1935/live/nana/media_w126658195_15.ts 22 : 7 : 46
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 46
1 wait for new ts file 22 : 7 : 46
0 wait for new ts file 22 : 7 : 46
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 47
1 wait for new ts file 22 : 7 : 47
0 wait for new ts file 22 : 7 : 47
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 48
1 wait for new ts file 22 : 7 : 48
0 wait for new ts file 22 : 7 : 48
200 http://192.168.0.124:1935/live/nana/chunklist_w126658195.m3u8 22 : 7 : 49
1 wait for new ts file 22 : 7 : 49
0 wait for new ts file 22 : 7 : 49
